Unnamed: 0,user,artist_ids
296,teori,1060
297,teori,1061
298,teori,173100
299,teori,42042
300,teori,156732
301,teori,1087
302,teori,1091
303,teori,1094
304,teori,25671
305,teori,1098
306,teori,1099
307,teori,25676
308,teori,1100
309,teori,1105
310,teori,451666
311,teori,2802772
312,teori,1110
313,teori,1112
314,teori,1114
315,teori,1385563
316,teori,1115
317,teori,1117
318,teori,1118
319,teori,6571098
320,teori,58465
321,teori,1129
322,teori,1136
323,teori,1137
324,teori,115826
325,teori,1139
326,teori,66674
327,teori,83061
328,teori,25719
329,teori,17533
330,teori,74878
331,teori,74879
332,teori,328839
333,teori,1162
334,teori,1165
335,teori,1166
336,teori,1173
337,teori,222358
338,teori,1175
339,teori,9373
340,teori,9379
341,teori,1803436
342,teori,33979
343,teori,7103676
344,teori,1220
345,teori,1222
346,teori,1227
347,teori,50380
348,teori,771280
349,teori,1778901
350,teori,3081429
351,teori,1156313
352,teori,34011
353,teori,1836253
354,teori,1247
355,teori,1762528
356,teori,1123564
357,teori,1459436
358,teori,2286837
359,teori,1270
360,teori,1269
361,teori,9467
362,teori,17660
363,teori,263420
364,teori,1279
365,teori,9472
366,teori,1280
367,teori,615685
368,teori,1287
369,teori,1288
370,teori,66824
371,teori,1290
372,teori,1291
373,teori,279818
374,teori,1289
375,teori,902417
376,teori,1298
377,teori,1302
378,teori,673052
379,teori,9503
380,teori,66852
381,teori,288039
382,teori,1323
383,teori,3605808
384,teori,1328
385,teori,9534
386,teori,1344
387,teori,664896
388,teori,1347
389,teori,25923
390,teori,329028
391,teori,1356
392,teori,4875599
393,teori,1360
394,teori,1362
395,teori,288082
396,teori,1364
397,teori,623958
398,teori,1373
399,teori,9566
400,teori,1375
401,teori,1381
402,teori,1383
403,teori,222573
404,teori,410990
405,teori,173423
406,teori,17777
407,teori,1099122
408,teori,17778
409,teori,42354
410,teori,2852222
411,teori,1418
412,teori,1422
413,teori,550288
414,teori,1424
415,teori,1425
416,teori,9622
417,teori,279960
418,teori,132507
419,teori,58787
420,teori,58788
421,teori,26023
422,teori,99757
423,teori,1460
424,teori,1461
425,teori,230838
426,teori,1463
427,teori,501183
428,teori,4507074
429,teori,1476
430,teori,26054
431,teori,26057
432,teori,4326873
433,teori,5408230
434,teori,4982246
435,teori,460266
436,teori,1336816
437,teori,1402353
438,teori,1522
439,teori,9715
440,teori,1525
441,teori,42488
442,teori,1529
443,teori,140794
444,teori,1531
445,teori,468475
446,teori,1536
447,teori,878081
448,teori,1542
449,teori,1543
450,teori,1544
451,teori,9750
452,teori,34336
453,teori,845344
454,teori,1570
455,teori,1156643
456,teori,1568
457,teori,1579
458,teori,435760
459,teori,4990516
460,teori,26166
461,teori,26167
462,teori,427576
463,teori,1593
464,teori,1600
465,teori,9792
466,teori,1605
467,teori,329287
468,teori,124489
469,teori,1611
